video_id,title,upload_date,url,duration,view_count,original_caption_status,canonical_status,candidate_transcript_count,canonical_source_file,transcript_char_count,transcript_word_count,selection_reason,processed_at
-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,20260514,https://www.youtube.com/watch?v=-2-vE-EbqBI,552,8975,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-2-vE-EbqBI.en.txt,6861,1267,Selected longest manual English transcript.,2026-05-21T15:57:14.030890
-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,20260504,https://www.youtube.com/watch?v=-4H1e2tFovA,18,944,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-4H1e2tFovA.en.txt,338,58,Selected longest manual English transcript.,2026-05-21T15:57:14.031175
-HSpxk3HB60,How to take advantage of the VIX. A simple way not discussed enough #stocks #trading #optionstrading,20251213,https://www.youtube.com/watch?v=-HSpxk3HB60,50,1455,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-HSpxk3HB60.en.txt,869,161,Selected longest manual English transcript.,2026-05-21T15:57:14.031302
-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,20260513,https://www.youtube.com/watch?v=-lZbWrPiyWU,63,1752,AVAILABLE,canonical_selected,2,processed\transcripts_txt\-lZbWrPiyWU.en.txt,1035,175,Selected longest manual English transcript.,2026-05-21T15:57:14.031413
0DCGY9kEB6c,Do you see the issue here? #trading #trader #daytrading #stockmarket #tradingstrategy,20260129,https://www.youtube.com/watch?v=0DCGY9kEB6c,16,598,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031522
0DmSqImHhRM,"This indicator identifies the rolling POC of the past 2 days, how would you use it? #trading",20260110,https://www.youtube.com/watch?v=0DmSqImHhRM,35,511,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031525
0mrpsFaPn2o,Backtesting is what institutional traders do 80% of their time #trading #daytrading #treader,20251217,https://www.youtube.com/watch?v=0mrpsFaPn2o,4,1206,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031527
0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,20260126,https://www.youtube.com/watch?v=0Pdp0d0siYE,58,853,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0Pdp0d0siYE.en.txt,1160,210,Selected longest manual English transcript.,2026-05-21T15:57:14.031529
0TdmHjQyyBo,"Treat trading like a business, basing your decisions purely on data and not gut feelings #trading",20260101,https://www.youtube.com/watch?v=0TdmHjQyyBo,16,1223,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0TdmHjQyyBo.en.txt,275,42,Selected longest manual English transcript.,2026-05-21T15:57:14.031632
0XsMRxdl930,The more you trade the more commissions they make #trading #trader #daytrading,20260114,https://www.youtube.com/watch?v=0XsMRxdl930,13,141,AVAILABLE,canonical_selected,2,processed\transcripts_txt\0XsMRxdl930.en.txt,272,49,Selected longest manual English transcript.,2026-05-21T15:57:14.031728
0YJTQ3BnCoE,Propfirms can be useful vehicles to learn but they can’t have you winning #trading #trader #propfirm,20260515,https://www.youtube.com/watch?v=0YJTQ3BnCoE,11,2327,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.031859
18k3N11DBNY,Technology evolves and retail traders are waking up #trading #trader #stocks #stockmarket,20260209,https://www.youtube.com/watch?v=18k3N11DBNY,9,1875,AVAILABLE,canonical_selected,2,processed\transcripts_txt\18k3N11DBNY.en.txt,120,20,Selected longest manual English transcript.,2026-05-21T15:57:14.031861
1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,20260506,https://www.youtube.com/watch?v=1fnvze_G8i0,18,1407,AVAILABLE,canonical_selected,2,processed\transcripts_txt\1fnvze_G8i0.en.txt,295,52,Selected longest manual English transcript.,2026-05-21T15:57:14.031951
2oeNOkEPpdI,"Read papers or extract the findings using ChatGPT, trade them #trading #trader",20251220,https://www.youtube.com/watch?v=2oeNOkEPpdI,19,1482,AVAILABLE,canonical_selected,2,processed\transcripts_txt\2oeNOkEPpdI.en.txt,301,50,Selected longest manual English transcript.,2026-05-21T15:57:14.032042
37vLeqVVSK0,#trading #trader #daytrading #money #quant #stockmarket,20260228,https://www.youtube.com/watch?v=37vLeqVVSK0,22,2072,AVAILABLE,canonical_selected,2,processed\transcripts_txt\37vLeqVVSK0.en.txt,310,59,Selected longest manual English transcript.,2026-05-21T15:57:14.032142
3lOtDq36F4I,2x High Value #trading #trader #education,20251213,https://www.youtube.com/watch?v=3lOtDq36F4I,7,963,AVAILABLE,canonical_selected,2,processed\transcripts_txt\3lOtDq36F4I.en.txt,119,21,Selected longest manual English transcript.,2026-05-21T15:57:14.032234
3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,20260516,https://www.youtube.com/watch?v=3lzfyR2kSO4,19,1558,AVAILABLE,canonical_selected,2,processed\transcripts_txt\3lzfyR2kSO4.en.txt,312,57,Selected longest manual English transcript.,2026-05-21T15:57:14.032329
3RHLtqmIElw,Be accountable for the losses and take the credits for the profits #trading #trader #daytrading,20251218,https://www.youtube.com/watch?v=3RHLtqmIElw,5,331,AVAILABLE,transcript_unusable,2,NONE,0,0,All 2 candidates were under 100 characters.,2026-05-21T15:57:14.032430
3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",20260107,https://www.youtube.com/watch?v=3zfggSLgJLg,47,1192,AVAILABLE,canonical_selected,2,processed\transcripts_txt\3zfggSLgJLg.en.txt,831,148,Selected longest manual English transcript.,2026-05-21T15:57:14.032509
4095y1Sy01A,I’m here to provide you a different prospective on trading #trading #trader #daytrading,20251218,https://www.youtube.com/watch?v=4095y1Sy01A,31,1371,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.032603
4EcRjZ_qxO4,Practice vs Theory. Which matters the most in trading? #trading #trader #daytrading,20260109,https://www.youtube.com/watch?v=4EcRjZ_qxO4,18,1312,AVAILABLE,canonical_selected,2,processed\transcripts_txt\4EcRjZ_qxO4.en.txt,291,47,Selected longest manual English transcript.,2026-05-21T15:57:14.032606
4Nkzf-m6xgw,Did you know this about high frequency trading? #trader #trading #highfrequencytrading,20251225,https://www.youtube.com/watch?v=4Nkzf-m6xgw,37,1314,AVAILABLE,canonical_selected,2,processed\transcripts_txt\4Nkzf-m6xgw.en.txt,545,89,Selected longest manual English transcript.,2026-05-21T15:57:14.032693
5c0ApbEpKa4,You get what you’re willing to work for.#trading #motivation #career #finance #stockmarket,20260208,https://www.youtube.com/watch?v=5c0ApbEpKa4,12,1547,AVAILABLE,canonical_selected,2,processed\transcripts_txt\5c0ApbEpKa4.en.txt,182,34,Selected longest manual English transcript.,2026-05-21T15:57:14.032789
5QBZtRuGgO0,It keeps testing the resistance #trading #trader #daytrading #daytrader #stocktrading #stockmarket,20251215,https://www.youtube.com/watch?v=5QBZtRuGgO0,8,2999,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.032900
5U5TrY95Q30,Make institutional trader  limitations your strengths #trading #trader #daytrading #tradingstrategy,20251223,https://www.youtube.com/watch?v=5U5TrY95Q30,15,342,AVAILABLE,canonical_selected,2,processed\transcripts_txt\5U5TrY95Q30.en.txt,293,50,Selected longest manual English transcript.,2026-05-21T15:57:14.032902
6URj8vH7MnQ,It won’t be easy but it will payoff. #trader #trading #money #motivation,20260109,https://www.youtube.com/watch?v=6URj8vH7MnQ,23,942,AVAILABLE,canonical_selected,2,processed\transcripts_txt\6URj8vH7MnQ.en.txt,158,31,Selected longest manual English transcript.,2026-05-21T15:57:14.032989
6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,20260514,https://www.youtube.com/watch?v=6wDvV4cEN-o,28,1032,AVAILABLE,canonical_selected,2,processed\transcripts_txt\6wDvV4cEN-o.en.txt,363,62,Selected longest manual English transcript.,2026-05-21T15:57:14.033077
6wYZW50yCm0,"Christmas tradition watching trading places on Christmas eve, but is it a trading movie? #trading",20251225,https://www.youtube.com/watch?v=6wYZW50yCm0,12,1150,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.033166
7hYF2gAS3tI,Anyone can trade like an institutional trader #trading #trader #algotrading,20260514,https://www.youtube.com/watch?v=7hYF2gAS3tI,14,1354,AVAILABLE,canonical_selected,2,processed\transcripts_txt\7hYF2gAS3tI.en.txt,180,35,Selected longest manual English transcript.,2026-05-21T15:57:14.033169
7VG4_sgwJC0,Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,20260111,https://www.youtube.com/watch?v=7VG4_sgwJC0,48,932,AVAILABLE,canonical_selected,2,processed\transcripts_txt\7VG4_sgwJC0.en.txt,874,163,Selected longest manual English transcript.,2026-05-21T15:57:14.033255
7vUD-onKsSw,"With all due respect, He got away with it since 2022 😂#trading #trader #ict #daytrader #daytrading",20260210,https://www.youtube.com/watch?v=7vUD-onKsSw,8,1232,AVAILABLE,canonical_selected,2,processed\transcripts_txt\7vUD-onKsSw.en.txt,141,26,Selected longest manual English transcript.,2026-05-21T15:57:14.033349
7w2sYyoxmg4,Better starting in December 31st than postponing for one more year #trading #trader #daytrading,20251230,https://www.youtube.com/watch?v=7w2sYyoxmg4,7,1554,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.033434
7Ylt6nkhNUw,Developing swing strategies conditional to the vix can be effective #trading #trader,20260511,https://www.youtube.com/watch?v=7Ylt6nkhNUw,45,1107,AVAILABLE,canonical_selected,2,processed\transcripts_txt\7Ylt6nkhNUw.en.txt,709,127,Selected longest manual English transcript.,2026-05-21T15:57:14.033436
85Xj2OUulM4,I agree it is cool though not gonna lie #trading #trader #daytrading #stockmarket #finance,20260427,https://www.youtube.com/watch?v=85Xj2OUulM4,18,1466,AVAILABLE,canonical_selected,2,processed\transcripts_txt\85Xj2OUulM4.en.txt,364,64,Selected longest manual English transcript.,2026-05-21T15:57:14.033538
88yPwajCxZY,Prop firms are a tool to learn not a path to wealth #trading #trader #daytrading,20260518,https://www.youtube.com/watch?v=88yPwajCxZY,17,1792,AVAILABLE,canonical_selected,2,processed\transcripts_txt\88yPwajCxZY.en.txt,253,49,Selected longest manual English transcript.,2026-05-21T15:57:14.033630
8NJgu9lIRPo,There is no dream that is big enough #trading #treader #motivation #daytrading,20251224,https://www.youtube.com/watch?v=8NJgu9lIRPo,5,1547,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.033731
8QeevRsmB3o,"You don’t do it for the money, but for the moment money can give you. #trading #money #motivation",20251228,https://www.youtube.com/watch?v=8QeevRsmB3o,10,1452,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.033733
95-1K9MtB8M,Day 1 of retail and institutional traders are very different #trading #trader #daytrader,20251224,https://www.youtube.com/watch?v=95-1K9MtB8M,16,1395,AVAILABLE,canonical_selected,2,processed\transcripts_txt\95-1K9MtB8M.en.txt,299,53,Selected longest manual English transcript.,2026-05-21T15:57:14.033735
9mb6diq4qQg,Who should I test next? #trading #trader #daytrading #ict #tradingstrategy,20260409,https://www.youtube.com/watch?v=9mb6diq4qQg,70,1300,AVAILABLE,canonical_selected,2,processed\transcripts_txt\9mb6diq4qQg.en.txt,1187,214,Selected longest manual English transcript.,2026-05-21T15:57:14.033837
9RMeN2VCUi8,"Start simple, add complexity later on #trading #trader #finance #algotrading",20260510,https://www.youtube.com/watch?v=9RMeN2VCUi8,22,1284,AVAILABLE,canonical_selected,2,processed\transcripts_txt\9RMeN2VCUi8.en.txt,425,65,Selected longest manual English transcript.,2026-05-21T15:57:14.033940
9XArDoDAEzs,Where to get trading strategies ideas #trading #trader #daytrading #daytrader,20251220,https://www.youtube.com/watch?v=9XArDoDAEzs,14,1370,AVAILABLE,canonical_selected,2,processed\transcripts_txt\9XArDoDAEzs.en.txt,210,35,Selected longest manual English transcript.,2026-05-21T15:57:14.034035
@MatFinOg,MatFinOg,UNKNOWN,https://www.youtube.com/@MatFinOg,UNKNOWN,UNKNOWN,MISSING,metadata_only,0,NONE,0,0,N/A,2026-05-21T15:57:14.034141
a6XFTUTay74,You either backtest it before trading or you shouldn’t trade it at all #tradinglesson #trader,20251217,https://www.youtube.com/watch?v=a6XFTUTay74,20,2119,AVAILABLE,canonical_selected,2,processed\transcripts_txt\a6XFTUTay74.en.txt,438,82,Selected longest manual English transcript.,2026-05-21T15:57:14.034143
a7p8F74qW4E,#trading #trader #quant #finance #daytrading,20260504,https://www.youtube.com/watch?v=a7p8F74qW4E,24,862,AVAILABLE,canonical_selected,2,processed\transcripts_txt\a7p8F74qW4E.en.txt,146,28,Selected longest manual English transcript.,2026-05-21T15:57:14.034243
A8bBTREAa4I,Crazy to think about it #trading #trader #nasdaq #investing #money,20260513,https://www.youtube.com/watch?v=A8bBTREAa4I,11,721,AVAILABLE,canonical_selected,2,processed\transcripts_txt\A8bBTREAa4I.en.txt,150,31,Selected longest manual English transcript.,2026-05-21T15:57:14.034332
adY3F258IOg,Identifying the difference between the price and the value is the corner stone of finance #trading,20251228,https://www.youtube.com/watch?v=adY3F258IOg,49,1069,AVAILABLE,canonical_selected,2,processed\transcripts_txt\adY3F258IOg.en.txt,710,128,Selected longest manual English transcript.,2026-05-21T15:57:14.034422
amUzCR8vAuk,If your inputs are in robust areas you and you have signs of profitability out of sample ✅ #trading,20260119,https://www.youtube.com/watch?v=amUzCR8vAuk,38,302,AVAILABLE,canonical_selected,2,processed\transcripts_txt\amUzCR8vAuk.en.txt,711,136,Selected longest manual English transcript.,2026-05-21T15:57:14.034627
B3YKJ129pxA,This is the recipe to succeed in 2026 and the years to come #success #finance #business,20260511,https://www.youtube.com/watch?v=B3YKJ129pxA,42,246,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.034738
B4rKs1Qfsew,"You cannot have chatgpt coding for you, and  you can change that. #trading #trader #coding",20260114,https://www.youtube.com/watch?v=B4rKs1Qfsew,12,494,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.034740
bC57VrqZDvA,If you are trading opening range breakouts you need to listen to this #trading #trader #daytrading,20251212,https://www.youtube.com/watch?v=bC57VrqZDvA,33,2461,AVAILABLE,canonical_selected,2,processed\transcripts_txt\bC57VrqZDvA.en.txt,631,103,Selected longest manual English transcript.,2026-05-21T15:57:14.034742
bEGNOVe48s8,"Day 3, load the instrument data you want to develop your strategy on #trading #trader",20260103,https://www.youtube.com/watch?v=bEGNOVe48s8,16,717,AVAILABLE,canonical_selected,2,processed\transcripts_txt\bEGNOVe48s8.en.txt,291,53,Selected longest manual English transcript.,2026-05-21T15:57:14.034886
BgZZNXOWRJ4,The ending proofs that consistency always wins#trading #trader #math #mindset #motivation,20260519,https://www.youtube.com/watch?v=BgZZNXOWRJ4,11,6254,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.034993
bI5JweJ2zK4,Considerations 5 days out #trading #treader #daytrading #stocktrading #stockmarket,20260125,https://www.youtube.com/watch?v=bI5JweJ2zK4,36,1203,AVAILABLE,canonical_selected,2,processed\transcripts_txt\bI5JweJ2zK4.en.txt,655,112,Selected longest manual English transcript.,2026-05-21T15:57:14.034996
boSkIJ7rdhQ,"Just focus on your targets, and make them reasonable, no one will reward unreasonable trader #trader",20260518,https://www.youtube.com/watch?v=boSkIJ7rdhQ,18,777,AVAILABLE,canonical_selected,2,processed\transcripts_txt\boSkIJ7rdhQ.en.txt,281,51,Selected longest manual English transcript.,2026-05-21T15:57:14.035089
bWs616mrnl4,Working hard doesn’t entitle you anything is a requirement for success tough #motivation #trading,20251216,https://www.youtube.com/watch?v=bWs616mrnl4,10,542,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.035194
Bz-0gtOSoGM,#orderflow #treader #trading #daytrading,20260202,https://www.youtube.com/watch?v=Bz-0gtOSoGM,10,1118,AVAILABLE,canonical_selected,2,processed\transcripts_txt\Bz-0gtOSoGM.en.txt,137,24,Selected longest manual English transcript.,2026-05-21T15:57:14.035196
BzP7JLr1NOI,For the beginner algotrader #trader #trading #beginnertrading #daytrading,20260309,https://www.youtube.com/watch?v=BzP7JLr1NOI,9,1218,AVAILABLE,canonical_selected,2,processed\transcripts_txt\BzP7JLr1NOI.en.txt,162,22,Selected longest manual English transcript.,2026-05-21T15:57:14.035297
C0io_jg0-yE,What is alpha decay? #trading #trader #daytrading #tradingstrategy,20251210,https://www.youtube.com/watch?v=C0io_jg0-yE,23,2830,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.035387
CaGI5D-_o1g,Trading rewards one skill #trading #trader #daytrading #finance #forextrading #xauusd,20251215,https://www.youtube.com/watch?v=CaGI5D-_o1g,24,1774,AVAILABLE,canonical_selected,2,processed\transcripts_txt\CaGI5D-_o1g.en.txt,315,53,Selected longest manual English transcript.,2026-05-21T15:57:14.035389
cBhkEFXqHjc,"Strong character, healthy body, make money. Not the other way around #trading #motivation #money",20251212,https://www.youtube.com/watch?v=cBhkEFXqHjc,11,1993,AVAILABLE,canonical_selected,2,processed\transcripts_txt\cBhkEFXqHjc.en.txt,141,24,Selected longest manual English transcript.,2026-05-21T15:57:14.035483
CcmM9fKF_lA,Where to find  historical time series for Options #trading #trader #optiontrading #tradingstrategy,20260112,https://www.youtube.com/watch?v=CcmM9fKF_lA,14,497,AVAILABLE,canonical_selected,2,processed\transcripts_txt\CcmM9fKF_lA.en.txt,263,39,Selected longest manual English transcript.,2026-05-21T15:57:14.035579
cMK2T912QEM,Addiction or passion? #trading #trader #crypto #daytrading #stockmarket,20260103,https://www.youtube.com/watch?v=cMK2T912QEM,7,242,AVAILABLE,transcript_unusable,2,NONE,0,0,All 2 candidates were under 100 characters.,2026-05-21T15:57:14.035683
cq9_2U7Eq7o,Did you know about its existence?#trading #trader #bloomberg #ai #finance,20260127,https://www.youtube.com/watch?v=cq9_2U7Eq7o,23,473,AVAILABLE,canonical_selected,2,processed\transcripts_txt\cq9_2U7Eq7o.en.txt,431,75,Selected longest manual English transcript.,2026-05-21T15:57:14.035757
Crb3lD2WKMg,What is overfitting #trading #trader #institutionaltrading #quant #daytrading,20260116,https://www.youtube.com/watch?v=Crb3lD2WKMg,53,620,AVAILABLE,canonical_selected,2,processed\transcripts_txt\Crb3lD2WKMg.en.txt,973,166,Selected longest manual English transcript.,2026-05-21T15:57:14.035868
cWjs7HO-AG0,He is ambitious thiugh #trading #finance #education #stockmarket #trader,20260107,https://www.youtube.com/watch?v=cWjs7HO-AG0,9,1266,AVAILABLE,transcript_unusable,1,NONE,0,0,All candidate transcripts were empty.,2026-05-21T15:57:14.035965
CWYXuxRJJzY,Giving retail traders the tools to trade like institutionals would #trading #trader,20251227,https://www.youtube.com/watch?v=CWYXuxRJJzY,5,1606,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.035999
D8JTL2nr288,What you need to trade like an institutional trader. #Trading #trader #forex #daytrading,20260115,https://www.youtube.com/watch?v=D8JTL2nr288,15,589,AVAILABLE,canonical_selected,2,processed\transcripts_txt\D8JTL2nr288.en.txt,300,52,Selected longest manual English transcript.,2026-05-21T15:57:14.036001
deZSSo8sD4I,Tradingview is not the best option in my opinion #tradingview #backtesting #trading #trader,20260508,https://www.youtube.com/watch?v=deZSSo8sD4I,19,1424,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.036091
dMGdMqEnDhQ,Knowing what you are doing allows you to take better decisions #trading #trader #daytrading #stocks,20260128,https://www.youtube.com/watch?v=dMGdMqEnDhQ,40,608,AVAILABLE,canonical_selected,2,processed\transcripts_txt\dMGdMqEnDhQ.en.txt,759,137,Selected longest manual English transcript.,2026-05-21T15:57:14.036093
DmzhV5VV_K4,Do you want to play a game? #finance #trading #daytrading #investing #bank #stockmarket,20251211,https://www.youtube.com/watch?v=DmzhV5VV_K4,6,1840,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.036194
dnV6AjUL28w,They tell you “you can trade from your phone” so they have a larger customers base #trading #trader,20260430,https://www.youtube.com/watch?v=dnV6AjUL28w,11,2039,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.036203
duJo1VVVktE,How to maximize your chances to become an institutional #trader #trading #finance,20251230,https://www.youtube.com/watch?v=duJo1VVVktE,24,392,AVAILABLE,canonical_selected,2,processed\transcripts_txt\duJo1VVVktE.en.txt,460,88,Selected longest manual English transcript.,2026-05-21T15:57:14.036204
DVqX97DDj7Q,How to find trading research papers for free #trading #trader #tradingstrategy #finance,20251221,https://www.youtube.com/watch?v=DVqX97DDj7Q,6,397,MISSING,transcript_missing,0,NONE,0,0,No caption files found on disk.,2026-05-21T15:57:14.036295
DxeFt7yIcqk,Making money consistently is about a well structured process #trading #trader #daytrading,20260520,https://www.youtube.com/watch?v=DxeFt7yIcqk,23,1132,AVAILABLE,canonical_selected,2,processed\transcripts_txt\DxeFt7yIcqk.en.txt,310,54,Selected longest manual English transcript.,2026-05-21T15:57:14.036297
DY5InolEfrw,#trading #ai #trader #finance,20260221,https://www.youtube.com/watch?v=DY5InolEfrw,34,1169,AVAILABLE,canonical_selected,2,processed\transcripts_txt\DY5InolEfrw.en.txt,614,108,Selected longest manual English transcript.,2026-05-21T15:57:14.036393
EH_0SCbu21M,Quick and simple overfitting check #trading #trader #daytrading #algotrading #stockmarket,20260117,https://www.youtube.com/watch?v=EH_0SCbu21M,46,972,AVAILABLE,canonical_selected,2,processed\transcripts_txt\EH_0SCbu21M.en.txt,721,127,Selected longest manual English transcript.,2026-05-21T15:57:14.036491
