video_id,title,upload_date,url,duration,view_count,caption_status,local_caption_file,local_info_json,processed_at
-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,20260514,https://www.youtube.com/watch?v=-2-vE-EbqBI,552,8975,AVAILABLE,raw\-2-vE-EbqBI\-2-vE-EbqBI.en-orig.vtt,raw\-2-vE-EbqBI\-2-vE-EbqBI.info.json,2026-05-21T15:49:43.117070
-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,20260504,https://www.youtube.com/watch?v=-4H1e2tFovA,18,944,AVAILABLE,raw\-4H1e2tFovA\-4H1e2tFovA.en-orig.vtt,raw\-4H1e2tFovA\-4H1e2tFovA.info.json,2026-05-21T15:49:43.136756
-HSpxk3HB60,How to take advantage of the VIX. A simple way not discussed enough #stocks #trading #optionstrading,20251213,https://www.youtube.com/watch?v=-HSpxk3HB60,50,1455,AVAILABLE,raw\-HSpxk3HB60\-HSpxk3HB60.en-orig.vtt,raw\-HSpxk3HB60\-HSpxk3HB60.info.json,2026-05-21T15:49:43.159047
-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,20260513,https://www.youtube.com/watch?v=-lZbWrPiyWU,63,1752,AVAILABLE,raw\-lZbWrPiyWU\-lZbWrPiyWU.en-orig.vtt,raw\-lZbWrPiyWU\-lZbWrPiyWU.info.json,2026-05-21T15:49:43.184707
0DCGY9kEB6c,Do you see the issue here? #trading #trader #daytrading #stockmarket #tradingstrategy,20260129,https://www.youtube.com/watch?v=0DCGY9kEB6c,16,598,MISSING,NONE,raw\0DCGY9kEB6c\0DCGY9kEB6c.info.json,2026-05-21T15:49:43.213474
0DmSqImHhRM,"This indicator identifies the rolling POC of the past 2 days, how would you use it? #trading",20260110,https://www.youtube.com/watch?v=0DmSqImHhRM,35,511,MISSING,NONE,raw\0DmSqImHhRM\0DmSqImHhRM.info.json,2026-05-21T15:49:43.239426
0mrpsFaPn2o,Backtesting is what institutional traders do 80% of their time #trading #daytrading #treader,20251217,https://www.youtube.com/watch?v=0mrpsFaPn2o,4,1206,MISSING,NONE,raw\0mrpsFaPn2o\0mrpsFaPn2o.info.json,2026-05-21T15:49:43.268985
0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,20260126,https://www.youtube.com/watch?v=0Pdp0d0siYE,58,853,AVAILABLE,raw\0Pdp0d0siYE\0Pdp0d0siYE.en-orig.vtt,raw\0Pdp0d0siYE\0Pdp0d0siYE.info.json,2026-05-21T15:49:43.295440
0TdmHjQyyBo,"Treat trading like a business, basing your decisions purely on data and not gut feelings #trading",20260101,https://www.youtube.com/watch?v=0TdmHjQyyBo,16,1223,AVAILABLE,raw\0TdmHjQyyBo\0TdmHjQyyBo.en-orig.vtt,raw\0TdmHjQyyBo\0TdmHjQyyBo.info.json,2026-05-21T15:49:43.322180
0XsMRxdl930,The more you trade the more commissions they make #trading #trader #daytrading,20260114,https://www.youtube.com/watch?v=0XsMRxdl930,13,141,AVAILABLE,raw\0XsMRxdl930\0XsMRxdl930.en-orig.vtt,raw\0XsMRxdl930\0XsMRxdl930.info.json,2026-05-21T15:49:43.350334
0YJTQ3BnCoE,Propfirms can be useful vehicles to learn but they can’t have you winning #trading #trader #propfirm,20260515,https://www.youtube.com/watch?v=0YJTQ3BnCoE,11,2327,MISSING,NONE,raw\0YJTQ3BnCoE\0YJTQ3BnCoE.info.json,2026-05-21T15:49:43.427886
18k3N11DBNY,Technology evolves and retail traders are waking up #trading #trader #stocks #stockmarket,20260209,https://www.youtube.com/watch?v=18k3N11DBNY,9,1875,AVAILABLE,raw\18k3N11DBNY\18k3N11DBNY.en-orig.vtt,raw\18k3N11DBNY\18k3N11DBNY.info.json,2026-05-21T15:49:43.453335
1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,20260506,https://www.youtube.com/watch?v=1fnvze_G8i0,18,1407,AVAILABLE,raw\1fnvze_G8i0\1fnvze_G8i0.en-orig.vtt,raw\1fnvze_G8i0\1fnvze_G8i0.info.json,2026-05-21T15:49:43.483041
2oeNOkEPpdI,"Read papers or extract the findings using ChatGPT, trade them #trading #trader",20251220,https://www.youtube.com/watch?v=2oeNOkEPpdI,19,1482,AVAILABLE,raw\2oeNOkEPpdI\2oeNOkEPpdI.en-orig.vtt,raw\2oeNOkEPpdI\2oeNOkEPpdI.info.json,2026-05-21T15:49:43.511417
37vLeqVVSK0,#trading #trader #daytrading #money #quant #stockmarket,20260228,https://www.youtube.com/watch?v=37vLeqVVSK0,22,2072,AVAILABLE,raw\37vLeqVVSK0\37vLeqVVSK0.en-orig.vtt,raw\37vLeqVVSK0\37vLeqVVSK0.info.json,2026-05-21T15:49:43.535767
3lOtDq36F4I,2x High Value #trading #trader #education,20251213,https://www.youtube.com/watch?v=3lOtDq36F4I,7,963,AVAILABLE,raw\3lOtDq36F4I\3lOtDq36F4I.en-orig.vtt,raw\3lOtDq36F4I\3lOtDq36F4I.info.json,2026-05-21T15:49:43.559598
3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,20260516,https://www.youtube.com/watch?v=3lzfyR2kSO4,19,1558,AVAILABLE,raw\3lzfyR2kSO4\3lzfyR2kSO4.en-orig.vtt,raw\3lzfyR2kSO4\3lzfyR2kSO4.info.json,2026-05-21T15:49:43.581704
3RHLtqmIElw,Be accountable for the losses and take the credits for the profits #trading #trader #daytrading,20251218,https://www.youtube.com/watch?v=3RHLtqmIElw,5,331,AVAILABLE,raw\3RHLtqmIElw\3RHLtqmIElw.en-orig.vtt,raw\3RHLtqmIElw\3RHLtqmIElw.info.json,2026-05-21T15:49:43.603242
3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",20260107,https://www.youtube.com/watch?v=3zfggSLgJLg,47,1192,AVAILABLE,raw\3zfggSLgJLg\3zfggSLgJLg.en-orig.vtt,raw\3zfggSLgJLg\3zfggSLgJLg.info.json,2026-05-21T15:49:43.623456
4095y1Sy01A,I’m here to provide you a different prospective on trading #trading #trader #daytrading,20251218,https://www.youtube.com/watch?v=4095y1Sy01A,31,1371,MISSING,NONE,raw\4095y1Sy01A\4095y1Sy01A.info.json,2026-05-21T15:49:43.650680
4EcRjZ_qxO4,Practice vs Theory. Which matters the most in trading? #trading #trader #daytrading,20260109,https://www.youtube.com/watch?v=4EcRjZ_qxO4,18,1312,AVAILABLE,raw\4EcRjZ_qxO4\4EcRjZ_qxO4.en-orig.vtt,raw\4EcRjZ_qxO4\4EcRjZ_qxO4.info.json,2026-05-21T15:49:43.670200
4Nkzf-m6xgw,Did you know this about high frequency trading? #trader #trading #highfrequencytrading,20251225,https://www.youtube.com/watch?v=4Nkzf-m6xgw,37,1314,AVAILABLE,raw\4Nkzf-m6xgw\4Nkzf-m6xgw.en-orig.vtt,raw\4Nkzf-m6xgw\4Nkzf-m6xgw.info.json,2026-05-21T15:49:43.690492
5c0ApbEpKa4,You get what you’re willing to work for.#trading #motivation #career #finance #stockmarket,20260208,https://www.youtube.com/watch?v=5c0ApbEpKa4,12,1547,AVAILABLE,raw\5c0ApbEpKa4\5c0ApbEpKa4.en-orig.vtt,raw\5c0ApbEpKa4\5c0ApbEpKa4.info.json,2026-05-21T15:49:43.711111
5QBZtRuGgO0,It keeps testing the resistance #trading #trader #daytrading #daytrader #stocktrading #stockmarket,20251215,https://www.youtube.com/watch?v=5QBZtRuGgO0,8,2999,MISSING,NONE,raw\5QBZtRuGgO0\5QBZtRuGgO0.info.json,2026-05-21T15:49:43.733165
5U5TrY95Q30,Make institutional trader  limitations your strengths #trading #trader #daytrading #tradingstrategy,20251223,https://www.youtube.com/watch?v=5U5TrY95Q30,15,342,AVAILABLE,raw\5U5TrY95Q30\5U5TrY95Q30.en-orig.vtt,raw\5U5TrY95Q30\5U5TrY95Q30.info.json,2026-05-21T15:49:43.751778
6URj8vH7MnQ,It won’t be easy but it will payoff. #trader #trading #money #motivation,20260109,https://www.youtube.com/watch?v=6URj8vH7MnQ,23,942,AVAILABLE,raw\6URj8vH7MnQ\6URj8vH7MnQ.en-orig.vtt,raw\6URj8vH7MnQ\6URj8vH7MnQ.info.json,2026-05-21T15:49:43.779639
6wDvV4cEN-o,Video out today at 11 ET #trading #trader #daytrading #orderflow #algotrading,20260514,https://www.youtube.com/watch?v=6wDvV4cEN-o,28,1032,AVAILABLE,raw\6wDvV4cEN-o\6wDvV4cEN-o.en-orig.vtt,raw\6wDvV4cEN-o\6wDvV4cEN-o.info.json,2026-05-21T15:49:43.815035
6wYZW50yCm0,"Christmas tradition watching trading places on Christmas eve, but is it a trading movie? #trading",20251225,https://www.youtube.com/watch?v=6wYZW50yCm0,12,1150,MISSING,NONE,raw\6wYZW50yCm0\6wYZW50yCm0.info.json,2026-05-21T15:49:43.856571
7hYF2gAS3tI,Anyone can trade like an institutional trader #trading #trader #algotrading,20260514,https://www.youtube.com/watch?v=7hYF2gAS3tI,14,1354,AVAILABLE,raw\7hYF2gAS3tI\7hYF2gAS3tI.en-orig.vtt,raw\7hYF2gAS3tI\7hYF2gAS3tI.info.json,2026-05-21T15:49:43.886392
7VG4_sgwJC0,Day 11 dividing the data between in sample and out of sample #trader #trading #algotrading #futures,20260111,https://www.youtube.com/watch?v=7VG4_sgwJC0,48,932,AVAILABLE,raw\7VG4_sgwJC0\7VG4_sgwJC0.en-orig.vtt,raw\7VG4_sgwJC0\7VG4_sgwJC0.info.json,2026-05-21T15:49:43.913912
7vUD-onKsSw,"With all due respect, He got away with it since 2022 😂#trading #trader #ict #daytrader #daytrading",20260210,https://www.youtube.com/watch?v=7vUD-onKsSw,8,1232,AVAILABLE,raw\7vUD-onKsSw\7vUD-onKsSw.en-orig.vtt,raw\7vUD-onKsSw\7vUD-onKsSw.info.json,2026-05-21T15:49:43.939686
7w2sYyoxmg4,Better starting in December 31st than postponing for one more year #trading #trader #daytrading,20251230,https://www.youtube.com/watch?v=7w2sYyoxmg4,7,1554,MISSING,NONE,raw\7w2sYyoxmg4\7w2sYyoxmg4.info.json,2026-05-21T15:49:43.971667
7Ylt6nkhNUw,Developing swing strategies conditional to the vix can be effective #trading #trader,20260511,https://www.youtube.com/watch?v=7Ylt6nkhNUw,45,1107,AVAILABLE,raw\7Ylt6nkhNUw\7Ylt6nkhNUw.en-orig.vtt,raw\7Ylt6nkhNUw\7Ylt6nkhNUw.info.json,2026-05-21T15:49:43.996125
85Xj2OUulM4,I agree it is cool though not gonna lie #trading #trader #daytrading #stockmarket #finance,20260427,https://www.youtube.com/watch?v=85Xj2OUulM4,18,1466,AVAILABLE,raw\85Xj2OUulM4\85Xj2OUulM4.en-orig.vtt,raw\85Xj2OUulM4\85Xj2OUulM4.info.json,2026-05-21T15:49:44.021790
88yPwajCxZY,Prop firms are a tool to learn not a path to wealth #trading #trader #daytrading,20260518,https://www.youtube.com/watch?v=88yPwajCxZY,17,1792,AVAILABLE,raw\88yPwajCxZY\88yPwajCxZY.en-orig.vtt,raw\88yPwajCxZY\88yPwajCxZY.info.json,2026-05-21T15:49:44.046374
8NJgu9lIRPo,There is no dream that is big enough #trading #treader #motivation #daytrading,20251224,https://www.youtube.com/watch?v=8NJgu9lIRPo,5,1547,MISSING,NONE,raw\8NJgu9lIRPo\8NJgu9lIRPo.info.json,2026-05-21T15:49:44.075810
8QeevRsmB3o,"You don’t do it for the money, but for the moment money can give you. #trading #money #motivation",20251228,https://www.youtube.com/watch?v=8QeevRsmB3o,10,1452,MISSING,NONE,raw\8QeevRsmB3o\8QeevRsmB3o.info.json,2026-05-21T15:49:44.101191
95-1K9MtB8M,Day 1 of retail and institutional traders are very different #trading #trader #daytrader,20251224,https://www.youtube.com/watch?v=95-1K9MtB8M,16,1395,AVAILABLE,raw\95-1K9MtB8M\95-1K9MtB8M.en-orig.vtt,raw\95-1K9MtB8M\95-1K9MtB8M.info.json,2026-05-21T15:49:44.126444
9mb6diq4qQg,Who should I test next? #trading #trader #daytrading #ict #tradingstrategy,20260409,https://www.youtube.com/watch?v=9mb6diq4qQg,70,1300,AVAILABLE,raw\9mb6diq4qQg\9mb6diq4qQg.en-orig.vtt,raw\9mb6diq4qQg\9mb6diq4qQg.info.json,2026-05-21T15:49:44.147735
9RMeN2VCUi8,"Start simple, add complexity later on #trading #trader #finance #algotrading",20260510,https://www.youtube.com/watch?v=9RMeN2VCUi8,22,1284,AVAILABLE,raw\9RMeN2VCUi8\9RMeN2VCUi8.en-orig.vtt,raw\9RMeN2VCUi8\9RMeN2VCUi8.info.json,2026-05-21T15:49:44.168799
9XArDoDAEzs,Where to get trading strategies ideas #trading #trader #daytrading #daytrader,20251220,https://www.youtube.com/watch?v=9XArDoDAEzs,14,1370,AVAILABLE,raw\9XArDoDAEzs\9XArDoDAEzs.en-orig.vtt,raw\9XArDoDAEzs\9XArDoDAEzs.info.json,2026-05-21T15:49:44.186425
@MatFinOg,MatFinOg,UNKNOWN,https://www.youtube.com/@MatFinOg,UNKNOWN,UNKNOWN,MISSING,NONE,raw\@MatFinOg\@MatFinOg.info.json,2026-05-21T15:49:44.206845
a6XFTUTay74,You either backtest it before trading or you shouldn’t trade it at all #tradinglesson #trader,20251217,https://www.youtube.com/watch?v=a6XFTUTay74,20,2119,AVAILABLE,raw\a6XFTUTay74\a6XFTUTay74.en-orig.vtt,raw\a6XFTUTay74\a6XFTUTay74.info.json,2026-05-21T15:49:44.234421
a7p8F74qW4E,#trading #trader #quant #finance #daytrading,20260504,https://www.youtube.com/watch?v=a7p8F74qW4E,24,862,AVAILABLE,raw\a7p8F74qW4E\a7p8F74qW4E.en-orig.vtt,raw\a7p8F74qW4E\a7p8F74qW4E.info.json,2026-05-21T15:49:44.259574
A8bBTREAa4I,Crazy to think about it #trading #trader #nasdaq #investing #money,20260513,https://www.youtube.com/watch?v=A8bBTREAa4I,11,721,AVAILABLE,raw\A8bBTREAa4I\A8bBTREAa4I.en-orig.vtt,raw\A8bBTREAa4I\A8bBTREAa4I.info.json,2026-05-21T15:49:44.713872
adY3F258IOg,Identifying the difference between the price and the value is the corner stone of finance #trading,20251228,https://www.youtube.com/watch?v=adY3F258IOg,49,1069,AVAILABLE,raw\adY3F258IOg\adY3F258IOg.en-orig.vtt,raw\adY3F258IOg\adY3F258IOg.info.json,2026-05-21T15:49:44.740246
amUzCR8vAuk,If your inputs are in robust areas you and you have signs of profitability out of sample ✅ #trading,20260119,https://www.youtube.com/watch?v=amUzCR8vAuk,38,302,AVAILABLE,raw\amUzCR8vAuk\amUzCR8vAuk.en-orig.vtt,raw\amUzCR8vAuk\amUzCR8vAuk.info.json,2026-05-21T15:49:44.768507
B3YKJ129pxA,This is the recipe to succeed in 2026 and the years to come #success #finance #business,20260511,https://www.youtube.com/watch?v=B3YKJ129pxA,42,246,MISSING,NONE,raw\B3YKJ129pxA\B3YKJ129pxA.info.json,2026-05-21T15:49:44.796305
B4rKs1Qfsew,"You cannot have chatgpt coding for you, and  you can change that. #trading #trader #coding",20260114,https://www.youtube.com/watch?v=B4rKs1Qfsew,12,494,MISSING,NONE,raw\B4rKs1Qfsew\B4rKs1Qfsew.info.json,2026-05-21T15:49:44.822356
bC57VrqZDvA,If you are trading opening range breakouts you need to listen to this #trading #trader #daytrading,20251212,https://www.youtube.com/watch?v=bC57VrqZDvA,33,2461,AVAILABLE,raw\bC57VrqZDvA\bC57VrqZDvA.en-orig.vtt,raw\bC57VrqZDvA\bC57VrqZDvA.info.json,2026-05-21T15:49:44.847644
bEGNOVe48s8,"Day 3, load the instrument data you want to develop your strategy on #trading #trader",20260103,https://www.youtube.com/watch?v=bEGNOVe48s8,16,717,AVAILABLE,raw\bEGNOVe48s8\bEGNOVe48s8.en-orig.vtt,raw\bEGNOVe48s8\bEGNOVe48s8.info.json,2026-05-21T15:49:44.874636
BgZZNXOWRJ4,The ending proofs that consistency always wins#trading #trader #math #mindset #motivation,20260519,https://www.youtube.com/watch?v=BgZZNXOWRJ4,11,6254,MISSING,NONE,raw\BgZZNXOWRJ4\BgZZNXOWRJ4.info.json,2026-05-21T15:49:44.938582
bI5JweJ2zK4,Considerations 5 days out #trading #treader #daytrading #stocktrading #stockmarket,20260125,https://www.youtube.com/watch?v=bI5JweJ2zK4,36,1203,AVAILABLE,raw\bI5JweJ2zK4\bI5JweJ2zK4.en-orig.vtt,raw\bI5JweJ2zK4\bI5JweJ2zK4.info.json,2026-05-21T15:49:44.957480
boSkIJ7rdhQ,"Just focus on your targets, and make them reasonable, no one will reward unreasonable trader #trader",20260518,https://www.youtube.com/watch?v=boSkIJ7rdhQ,18,777,AVAILABLE,raw\boSkIJ7rdhQ\boSkIJ7rdhQ.en-orig.vtt,raw\boSkIJ7rdhQ\boSkIJ7rdhQ.info.json,2026-05-21T15:49:44.979321
bWs616mrnl4,Working hard doesn’t entitle you anything is a requirement for success tough #motivation #trading,20251216,https://www.youtube.com/watch?v=bWs616mrnl4,10,542,MISSING,NONE,raw\bWs616mrnl4\bWs616mrnl4.info.json,2026-05-21T15:49:45.006707
Bz-0gtOSoGM,#orderflow #treader #trading #daytrading,20260202,https://www.youtube.com/watch?v=Bz-0gtOSoGM,10,1118,AVAILABLE,raw\Bz-0gtOSoGM\Bz-0gtOSoGM.en-orig.vtt,raw\Bz-0gtOSoGM\Bz-0gtOSoGM.info.json,2026-05-21T15:49:45.033983
BzP7JLr1NOI,For the beginner algotrader #trader #trading #beginnertrading #daytrading,20260309,https://www.youtube.com/watch?v=BzP7JLr1NOI,9,1218,AVAILABLE,raw\BzP7JLr1NOI\BzP7JLr1NOI.en-orig.vtt,raw\BzP7JLr1NOI\BzP7JLr1NOI.info.json,2026-05-21T15:49:45.058345
C0io_jg0-yE,What is alpha decay? #trading #trader #daytrading #tradingstrategy,20251210,https://www.youtube.com/watch?v=C0io_jg0-yE,23,2830,MISSING,NONE,raw\C0io_jg0-yE\C0io_jg0-yE.info.json,2026-05-21T15:49:45.083616
CaGI5D-_o1g,Trading rewards one skill #trading #trader #daytrading #finance #forextrading #xauusd,20251215,https://www.youtube.com/watch?v=CaGI5D-_o1g,24,1774,AVAILABLE,raw\CaGI5D-_o1g\CaGI5D-_o1g.en-orig.vtt,raw\CaGI5D-_o1g\CaGI5D-_o1g.info.json,2026-05-21T15:49:45.109156
cBhkEFXqHjc,"Strong character, healthy body, make money. Not the other way around #trading #motivation #money",20251212,https://www.youtube.com/watch?v=cBhkEFXqHjc,11,1993,AVAILABLE,raw\cBhkEFXqHjc\cBhkEFXqHjc.en-orig.vtt,raw\cBhkEFXqHjc\cBhkEFXqHjc.info.json,2026-05-21T15:49:45.523428
CcmM9fKF_lA,Where to find  historical time series for Options #trading #trader #optiontrading #tradingstrategy,20260112,https://www.youtube.com/watch?v=CcmM9fKF_lA,14,497,AVAILABLE,raw\CcmM9fKF_lA\CcmM9fKF_lA.en-orig.vtt,raw\CcmM9fKF_lA\CcmM9fKF_lA.info.json,2026-05-21T15:49:45.555088
cMK2T912QEM,Addiction or passion? #trading #trader #crypto #daytrading #stockmarket,20260103,https://www.youtube.com/watch?v=cMK2T912QEM,7,242,AVAILABLE,raw\cMK2T912QEM\cMK2T912QEM.en-orig.vtt,raw\cMK2T912QEM\cMK2T912QEM.info.json,2026-05-21T15:49:45.586047
cq9_2U7Eq7o,Did you know about its existence?#trading #trader #bloomberg #ai #finance,20260127,https://www.youtube.com/watch?v=cq9_2U7Eq7o,23,473,AVAILABLE,raw\cq9_2U7Eq7o\cq9_2U7Eq7o.en-orig.vtt,raw\cq9_2U7Eq7o\cq9_2U7Eq7o.info.json,2026-05-21T15:49:45.614196
Crb3lD2WKMg,What is overfitting #trading #trader #institutionaltrading #quant #daytrading,20260116,https://www.youtube.com/watch?v=Crb3lD2WKMg,53,620,AVAILABLE,raw\Crb3lD2WKMg\Crb3lD2WKMg.en-orig.vtt,raw\Crb3lD2WKMg\Crb3lD2WKMg.info.json,2026-05-21T15:49:45.642301
cWjs7HO-AG0,He is ambitious thiugh #trading #finance #education #stockmarket #trader,20260107,https://www.youtube.com/watch?v=cWjs7HO-AG0,9,1266,AVAILABLE,raw\cWjs7HO-AG0\cWjs7HO-AG0.en.vtt,raw\cWjs7HO-AG0\cWjs7HO-AG0.info.json,2026-05-21T15:49:45.669759
CWYXuxRJJzY,Giving retail traders the tools to trade like institutionals would #trading #trader,20251227,https://www.youtube.com/watch?v=CWYXuxRJJzY,5,1606,MISSING,NONE,raw\CWYXuxRJJzY\CWYXuxRJJzY.info.json,2026-05-21T15:49:45.700413
D8JTL2nr288,What you need to trade like an institutional trader. #Trading #trader #forex #daytrading,20260115,https://www.youtube.com/watch?v=D8JTL2nr288,15,589,AVAILABLE,raw\D8JTL2nr288\D8JTL2nr288.en-orig.vtt,raw\D8JTL2nr288\D8JTL2nr288.info.json,2026-05-21T15:49:45.726959
deZSSo8sD4I,Tradingview is not the best option in my opinion #tradingview #backtesting #trading #trader,20260508,https://www.youtube.com/watch?v=deZSSo8sD4I,19,1424,MISSING,NONE,raw\deZSSo8sD4I\deZSSo8sD4I.info.json,2026-05-21T15:49:45.756021
dMGdMqEnDhQ,Knowing what you are doing allows you to take better decisions #trading #trader #daytrading #stocks,20260128,https://www.youtube.com/watch?v=dMGdMqEnDhQ,40,608,AVAILABLE,raw\dMGdMqEnDhQ\dMGdMqEnDhQ.en-orig.vtt,raw\dMGdMqEnDhQ\dMGdMqEnDhQ.info.json,2026-05-21T15:49:45.785002
DmzhV5VV_K4,Do you want to play a game? #finance #trading #daytrading #investing #bank #stockmarket,20251211,https://www.youtube.com/watch?v=DmzhV5VV_K4,6,1840,MISSING,NONE,raw\DmzhV5VV_K4\DmzhV5VV_K4.info.json,2026-05-21T15:49:45.814404
dnV6AjUL28w,They tell you “you can trade from your phone” so they have a larger customers base #trading #trader,20260430,https://www.youtube.com/watch?v=dnV6AjUL28w,11,2039,MISSING,NONE,raw\dnV6AjUL28w\dnV6AjUL28w.info.json,2026-05-21T15:49:45.890720
duJo1VVVktE,How to maximize your chances to become an institutional #trader #trading #finance,20251230,https://www.youtube.com/watch?v=duJo1VVVktE,24,392,AVAILABLE,raw\duJo1VVVktE\duJo1VVVktE.en-orig.vtt,raw\duJo1VVVktE\duJo1VVVktE.info.json,2026-05-21T15:49:45.918812
DVqX97DDj7Q,How to find trading research papers for free #trading #trader #tradingstrategy #finance,20251221,https://www.youtube.com/watch?v=DVqX97DDj7Q,6,397,MISSING,NONE,raw\DVqX97DDj7Q\DVqX97DDj7Q.info.json,2026-05-21T15:49:45.949891
DxeFt7yIcqk,Making money consistently is about a well structured process #trading #trader #daytrading,20260520,https://www.youtube.com/watch?v=DxeFt7yIcqk,23,1132,AVAILABLE,raw\DxeFt7yIcqk\DxeFt7yIcqk.en-orig.vtt,raw\DxeFt7yIcqk\DxeFt7yIcqk.info.json,2026-05-21T15:49:45.976410
DY5InolEfrw,#trading #ai #trader #finance,20260221,https://www.youtube.com/watch?v=DY5InolEfrw,34,1169,AVAILABLE,raw\DY5InolEfrw\DY5InolEfrw.en-orig.vtt,raw\DY5InolEfrw\DY5InolEfrw.info.json,2026-05-21T15:49:45.999249
EH_0SCbu21M,Quick and simple overfitting check #trading #trader #daytrading #algotrading #stockmarket,20260117,https://www.youtube.com/watch?v=EH_0SCbu21M,46,972,AVAILABLE,raw\EH_0SCbu21M\EH_0SCbu21M.en-orig.vtt,raw\EH_0SCbu21M\EH_0SCbu21M.info.json,2026-05-21T15:49:46.026668
EL73akuHskc,Not all the 9 to 5 are the same. #trading #quant #corporatelife #corporate #finance,20260503,https://www.youtube.com/watch?v=EL73akuHskc,10,1979,MISSING,NONE,raw\EL73akuHskc\EL73akuHskc.info.json,2026-05-21T15:49:46.058427
