queue_item_id,prompt_id,prompt_type,source_workflow_id,source_video_id,source_title,priority,review_status,reviewer,recommended_next_action,safety_notes,created_at
Q-001-P--2-vE-Eb,P--2-vE-EbqBI-research_paper_to_backtest_workflow-1,replication_question,research_paper_to_backtest_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review the source video and write the hypothesis in your own words.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-002-P--2-vE-Eb,P--2-vE-EbqBI-research_paper_to_backtest_workflow-2,validation_question,research_paper_to_backtest_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-003-P--2-vE-Eb,P--2-vE-EbqBI-risk_first_strategy_review_workflow-1,risk_review_question,risk_first_strategy_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-004-P--2-vE-Eb,P--2-vE-EbqBI-risk_first_strategy_review_workflow-2,risk_review_question,risk_first_strategy_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-005-P--2-vE-Eb,P--2-vE-EbqBI-execution_microstructure_review_workflow-1,validation_question,execution_microstructure_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-006-P--2-vE-Eb,P--2-vE-EbqBI-execution_microstructure_review_workflow-2,workflow_design_question,execution_microstructure_review_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-007-P--2-vE-Eb,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-1,workflow_design_question,ai_assisted_quant_learning_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-008-P--2-vE-Eb,P--2-vE-EbqBI-ai_assisted_quant_learning_workflow-2,workstation_feature_question,ai_assisted_quant_learning_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-009-P--2-vE-Eb,P--2-vE-EbqBI-workstation_module_candidate_workflow-1,workstation_feature_question,workstation_module_candidate_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-010-P--2-vE-Eb,P--2-vE-EbqBI-workstation_module_candidate_workflow-2,workflow_design_question,workstation_module_candidate_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-011-P--2-vE-Eb,P--2-vE-EbqBI-psychological_process_and_discipline_workflow-1,workflow_design_question,psychological_process_and_discipline_workflow,-2-vE-EbqBI,Is it really TRUE that ORDERFLOW trading cannot be AUTOMATED?,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-012-P--4H1e2tF,P--4H1e2tFovA-ai_assisted_quant_learning_workflow-1,workflow_design_question,ai_assisted_quant_learning_workflow,-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-013-P--4H1e2tF,P--4H1e2tFovA-ai_assisted_quant_learning_workflow-2,workstation_feature_question,ai_assisted_quant_learning_workflow,-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-014-P--4H1e2tF,P--4H1e2tFovA-workstation_module_candidate_workflow-1,workstation_feature_question,workstation_module_candidate_workflow,-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-015-P--4H1e2tF,P--4H1e2tFovA-workstation_module_candidate_workflow-2,workflow_design_question,workstation_module_candidate_workflow,-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-016-P--4H1e2tF,P--4H1e2tFovA-psychological_process_and_discipline_workflow-1,workflow_design_question,psychological_process_and_discipline_workflow,-4H1e2tFovA,#trading #trader #daytrading #finance #strategytrading,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-017-P--lZbWrPi,P--lZbWrPiyWU-market_inefficiency_hypothesis_workflow-2,validation_question,market_inefficiency_hypothesis_workflow,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-018-P--lZbWrPi,P--lZbWrPiyWU-risk_first_strategy_review_workflow-1,risk_review_question,risk_first_strategy_review_workflow,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-019-P--lZbWrPi,P--lZbWrPiyWU-risk_first_strategy_review_workflow-2,risk_review_question,risk_first_strategy_review_workflow,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-020-P--lZbWrPi,P--lZbWrPiyWU-workstation_module_candidate_workflow-1,workstation_feature_question,workstation_module_candidate_workflow,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-021-P--lZbWrPi,P--lZbWrPiyWU-workstation_module_candidate_workflow-2,workflow_design_question,workstation_module_candidate_workflow,-lZbWrPiyWU,Fabio Valentini Exposed ? #trading #trader #orderflow #algotrading #strategytrading,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-022-P-0Pdp0d0s,P-0Pdp0d0siYE-risk_first_strategy_review_workflow-1,risk_review_question,risk_first_strategy_review_workflow,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-023-P-0Pdp0d0s,P-0Pdp0d0siYE-risk_first_strategy_review_workflow-2,risk_review_question,risk_first_strategy_review_workflow,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-024-P-0Pdp0d0s,P-0Pdp0d0siYE-execution_microstructure_review_workflow-1,validation_question,execution_microstructure_review_workflow,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-025-P-0Pdp0d0s,P-0Pdp0d0siYE-execution_microstructure_review_workflow-2,workflow_design_question,execution_microstructure_review_workflow,0Pdp0d0siYE,We got our first trade in and… here all the considerations#trading #trader #daytrading #stockmarket,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-026-P-1fnvze_G,P-1fnvze_G8i0-risk_first_strategy_review_workflow-1,risk_review_question,risk_first_strategy_review_workflow,1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-027-P-1fnvze_G,P-1fnvze_G8i0-risk_first_strategy_review_workflow-2,risk_review_question,risk_first_strategy_review_workflow,1fnvze_G8i0,#trading #trader #daytrading #finance #tradingstrategy,medium,new,HUMAN_REQUIRED,Identify required data before requesting implementation.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-028-P-3lzfyR2k,P-3lzfyR2kSO4-ai_assisted_quant_learning_workflow-1,workflow_design_question,ai_assisted_quant_learning_workflow,3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,medium,new,HUMAN_REQUIRED,"Check whether the idea belongs in learning notes, research backlog, or quant MVP backlog.",Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-029-P-3lzfyR2k,P-3lzfyR2kSO4-ai_assisted_quant_learning_workflow-2,workstation_feature_question,ai_assisted_quant_learning_workflow,3lzfyR2kSO4,Get it on Instagram #trader #trading #tradingstrategy #orderflow,medium,new,HUMAN_REQUIRED,Review whether this feature adds value to the workstation MVP.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
Q-030-P-3zfggSLg,P-3zfggSLgJLg-market_inefficiency_hypothesis_workflow-2,validation_question,market_inefficiency_hypothesis_workflow,3zfggSLgJLg,"If you can’t code you cannot automate your #trading  strategy , thankfully ChatGPT can help you",medium,new,HUMAN_REQUIRED,List validation checks before treating this as a strategy candidate.,Passed automated safe word check. Human must verify no financial advice.,2026-05-21T06:36:15.252190Z
